State,2013,2015,2018,2021
Federal Capital Territory,71.4,69.6,77.3,67.7
Benue,20.1,22.9,41.3,42.2
Kogi,64.1,67.1,58.7,58.5
Kwara,90.1,51.0,75.9,90.7
Nasarawa,26.7,20.3,59.3,27.0
Niger,51.8,37.4,52.2,21.9
Plateau,28.8,17.1,41.1,17.0
Adamawa,39.7,14.4,42.7,36.1
Bauchi,32.7,39.2,36.4,13.7
Borno,37.0,63.9,47.1,2.3
Gombe,48.8,61.2,45.3,38.8
Taraba,9.2,17.4,20.7,31.6
Yobe,18.7,45.9,31.2,25.5
Jigawa,30.2,21.9,27.8,27.9
Kaduna,48.8,38.7,63.7,40.4
Kano,55.1,38.9,55.4,36.9
Katsina,33.4,33.2,46.5,29.9
Kebbi,46.0,30.3,34.0,37.2
Sokoto,40.5,18.0,34.5,37.3
Zamfara,32.2,36.4,36.9,25.3
Abia,82.2,90.6,91.1,62.7
Anambra,86.9,88.7,83.9,95.9
Ebonyi,37.9,46.2,25.3,24.4
Enugu,53.5,72.1,64.3,63.1
Imo,69.9,81.8,54.5,32.0
Ekiti,93.2,82.1,59.5,74.4
Lagos,99.5,99.7,98.9,97.9
Ogun,74.0,64.3,92.5,65.5
Ondo,63.9,57.5,54.7,27.3
Osun,89.7,80.9,78.7,81.6
Oyo,65.0,65.8,76.2,76.9
 Akwa Ibom,65.7,78.4,74.7,50.7
Bayelsa,49.4,69.3,48.8,63.5
Cross River,57.3,52.8,53.4,44.7
Delta,79.1,77.0,72.9,73.6
Edo,82.2,88.0,72.6,76.2
Rivers,67.9,64.0,81.8,88.6
