FID,description,types_of_plants,lat,long,installation_capacity_mw,geom
power_plants.7,Jebba Hydroelectric Power Plant ,Hydro,9.1355556,4.7877778,570,POINT (532972.98672734 1021302.0191037019)
power_plants.1,AES Nigeria BARGE IPP Limited ,Gas ,6.5591667,3.615,270,POINT (402419.9592176844 731763.1955191164)
power_plants.2,Egbin Thermal Power Station ,Steam ,6.5630556,3.6152778,1320,POINT (402450.883772225 732198.9599044187)
power_plants.3,Olorunsogo II Power Plant - NIPP ,Gas; Steam  ,6.8855556,3.3155556,720,POINT (369085.9610887856 768348.2126840537)
power_plants.4,Olorunsogo Power Plant ,Gas ,6.8819444,3.314444,320,POINT (368962.2183428222 767943.2968523371)
power_plants.5,Omotosho Power Plant - NIPP,Gas ,6.7358333,4.7108333,480,POINT (524407.5641679956 751562.7491455841)
power_plants.6,Omotosho I & II Power Station ,Gas ,6.7358333,4.7108333,304,POINT (524407.5641679956 751562.7491455841)
power_plants.8,Kainji Hydroelectric Power Station ,Hydro,9.8625,4.6133333,760,POINT (513553.91381565353 1103350.6911312963)
power_plants.9,Shiroro Hydroelectric Power Station ,Hydro,9.975,6.8344444,600,POINT (760806.8704629388 1116064.1641375)
power_plants.10,Delta Power Station (Transcorp Ughelli Power Station),Gas ,5.5411111,5.9155556,860,POINT (658516.6371512987 617797.4558860898)
power_plants.11,Gerugu II Power Plant - NIPP,Gas ,7.5630556,6.6927778,435,POINT (745036.6166885244 844371.1334096566)
power_plants.12,Gerugu I Power Station ,Gas ,7.41611111,6.9197333,405,POINT (770301.1873812595 827872.5868619345)
power_plants.13,Ihovbor Power Plant - NIPP,Gas ,6.4055556,5.6833333,480,POINT (632665.7689644545 714553.2517925001)
power_plants.14,Sapele Power Plant - NIPP,Gas ,5.9277778,5.6447222,480,POINT (628367.6009734864 661057.5667090184)
power_plants.15,Sapele Power Station ,Steam ,5.9252778,5.6455556,420,POINT (628460.3746371139 660777.772515011)
power_plants.16,Okpai Power Plant ,Gas ,5.7103,6.57561,470,POINT (731993.5568551568 636722.6378254375)
power_plants.17,Afam IV-V Power Plant ,Gas ,4.8513889,7.2547222,260,POINT (807591.981150657 540700.6178393223)
power_plants.18,Afam VI Power Plant ,Gas; Steam ,4.8494444,7.2566667,725,POINT (807808.4419005037 540483.3791233592)
power_plants.19,Alaoiji Power Plant - NIPP,Gas ,5.0666667,7.3233333,480,POINT (815229.7338654231 564755.2894293508)
power_plants.20,Ibom Power Station (IPP),Gas ,4.5647222,7.5683333,174,POINT (842503.0091097764 508680.9540993067)
power_plants.21,Odukpani  (Calabar) Power Plant ,Gas ,5.1891667,8.2736111,600,POINT (921014.1746735756 578446.7278317419)
power_plants.22,Omoku Power Plant - NIPP,Gas ,5.39,6.663333,120,POINT (741758.836546015 600899.0137811431)
power_plants.23,Trans-Amadi Power Plant (IPP),Gas ,4.815994,7.031416,80,POINT (782733.6486756761 536746.4123286618)
power_plants.24,Rivers Power Plant (IPP),Gas ,,,160,
power_plants.25,ASCO (Ajaokuta Steel Company) IPP,Gas ,7.5144,6.69059,110,POINT (744793.0719065692 838907.5920056782)
power_plants.26,Azura Thermal Power Station (IPP),Gas ,6.408889,5.683611,460,POINT (632696.6823870491 714926.6565212721)
power_plants.27,Paras Energy & Natural Res. Dev. Ltd.,Gas ,6.72014,3.5222,96,POINT (392089.5104720689 749803.6651171149)
power_plants.28,Gbarain Power Plant - NIPP,Gas ,5.03223,6.30156,250,POINT (701486.450403261 560906.8781957559)
